# WARNING: These are DEFAULT credentials for testing only!
# For PRODUCTION, generate strong random passwords using:
#   for i in {1..50}; do PASS=$(openssl rand -base64 16); printf "%03d,user%03d,%s\n" $i $i "$PASS"; done > users.csv.new
instance,user,password
001,user001,pass001
002,user002,pass002
003,user003,pass003
004,user004,pass004
005,user005,pass005
006,user006,pass006
007,user007,pass007
008,user008,pass008
009,user009,pass009
010,user010,pass010
011,user011,pass011
012,user012,pass012
013,user013,pass013
014,user014,pass014
015,user015,pass015
016,user016,pass016
017,user017,pass017
018,user018,pass018
019,user019,pass019
020,user020,pass020
021,user021,pass021
022,user022,pass022
023,user023,pass023
024,user024,pass024
025,user025,pass025
026,user026,pass026
027,user027,pass027
028,user028,pass028
029,user029,pass029
030,user030,pass030
031,user031,pass031
032,user032,pass032
033,user033,pass033
034,user034,pass034
035,user035,pass035
036,user036,pass036
037,user037,pass037
038,user038,pass038
039,user039,pass039
040,user040,pass040
041,user041,pass041
042,user042,pass042
043,user043,pass043
044,user044,pass044
045,user045,pass045
046,user046,pass046
047,user047,pass047
048,user048,pass048
049,user049,pass049
050,user050,pass050
